"","pitch_type","release_speed","release_pos_x","release_pos_y","release_pos_z"
"327","ST",79.3,-2.25,53.57,5.78
"328","ST",86.2,-2.31,53.6,5.6
"329","FF",98,-2.23,53.49,5.64
"330","FF",96.9,-2.1,53.34,5.64
"331","FF",96.7,-2.29,53.51,5.68
"332","FF",96.5,-2.05,53.4,5.84
"333","FF",93.3,-2,53.43,5.76
"334","ST",83,-2.26,53.55,5.67
"335","FF",92.2,-2.14,53.44,5.62
"336","FF",93.6,-2,53.39,5.76
"337","ST",84.9,-2.45,53.71,5.4
"338","ST",85,-2.47,53.77,5.61
"339","FF",95.3,-2.17,53.53,5.73
"340","ST",82.1,-2.42,53.62,5.55
"341","FF",94.4,-1.95,53.41,5.75
"342","ST",84.6,-2.37,53.6,5.49
"343","ST",83.6,-2.41,53.8,5.62
"344","ST",84.6,-2.31,53.58,5.56
"345","FF",96.2,-2.1,53.4,5.73
"346","FF",96.7,-1.95,53.41,5.71
"347","FF",97.5,-1.94,53.46,5.82
"348","FF",94,-1.84,53.4,5.82
"349","ST",82.9,-2.25,53.55,5.65
"350","ST",80,-2.15,53.63,5.72
"351","FF",94.3,-2.07,53.33,5.6
"352","FF",96.4,-2.03,53.4,5.65
"353","ST",82.6,-2.35,53.68,5.59
"354","FF",94.3,-2.04,53.42,5.73
"355","ST",82,-2.24,53.49,5.67
"356","ST",82.5,-2.36,53.41,5.63
"357","ST",79.8,-2.32,53.57,5.64
"358","FF",94.2,-1.94,53.2,5.49
"359","FF",92.6,-2.02,53.57,5.63
"360","ST",81.1,-2.32,54,5.34
"361","ST",79.9,-2.07,54.26,5.54
"362","FF",93.1,-1.97,53.26,5.66
"363","FF",97.1,-2.22,53.65,5.38
"364","ST",85.8,-2.44,53.89,5.23
"365","FF",97,-2.16,53.73,5.52
"366","ST",85.4,-2.32,53.61,5.36
"367","ST",85.3,-2.44,53.57,5.29
"368","FF",97.3,-2.1,53.62,5.5
"369","FF",97.4,-2.3,53.7,5.44
"370","FF",97.3,-2.28,53.64,5.48
"371","FF",95.3,-2.08,53.54,5.54
"372","ST",81,-2.2,53.63,5.6
"373","FF",93.5,-2.07,53.65,5.63
"374","ST",79.6,-2.2,53.84,5.67
"375","ST",79.2,-2.05,53.87,5.68
"376","FF",94.8,-2.18,53.78,5.52
"377","ST",80.5,-2.23,53.69,5.5
"378","FF",94.7,-1.96,53.63,5.65
"379","ST",81.5,-2.16,53.46,5.49
"380","FF",95.7,-1.81,53.64,5.67
"381","ST",77.8,-2.12,53.58,5.6
"382","FF",94.5,-1.98,53.72,5.54
"383","ST",84.2,-2.13,53.84,5.5
"384","FF",94.8,-2.1,53.84,5.62
"385","FF",94.8,-1.74,53.53,5.79
"386","FF",98,-1.9,54.11,5.92
"387","FF",95.6,-1.93,53.71,5.79
"388","FF",97.5,-1.88,53.59,5.81
"389","ST",82.1,-2.19,53.92,5.64
"390","FF",94.4,-2.01,53.57,5.61
"391","FF",97,-2.25,53.78,5.5
"392","FF",97,-2.21,54.09,5.64
"393","FF",95.6,-2.23,53.67,5.52
"394","FF",96.1,-1.9,53.72,5.7
"395","FF",95.3,-1.86,53.68,5.75
"396","FF",94.4,-1.96,54.32,5.75
"397","FF",94.8,-1.88,53.71,5.65
"398","FF",95.6,-2.06,53.71,5.57
